Country,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.UHC.SRVS.CV.XD,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.STA.DIAB.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SH.DYN.NCOM.ZS,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.DTH.COMM.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.H2O.BASW.ZS,SH.STA.BASS.ZS,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO.ZS,SP.POP.0014.FE.ZS,SP.POP.0014.MA.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.FE.ZS,SP.POP.1564.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.TOTL
GUY,1.6,0.799,1.3398,72.0,4.94550988078117,230.527282714844,405.077758789063,32.4706435203552,74.8536911010742,131.531341552734,11.6,72.972,69.774,66.783,182.082,268.873,30.5,28.8,32.4,20.0,12.4,67.6,95.5397476791324,85.7631015015164,1.46646460897713,1.0780078721429,7.03748376322138,5.86702267780736,6.45027124309697,27.7440155873075,28.6824262977655,28.214545202476,65.2185006494711,65.4505510244272,65.335183554427,779004.0
HKG,4.89090013504028,1.319,,,,,,,,,4.5,87.7,84.9341463414634,82.3,33.104,61.901,,,,,,,100.0,96.4362244897959,5.42435609053178,4.31292927657006,16.7018172406586,17.0783648289519,16.8750483265122,10.4229060507532,13.6310485206752,11.9008970757204,72.8752767085883,69.2905866503729,71.2240545977674,7451000.0
HND,0.7,0.3144,0.8815,65.0,7.85842537879944,195.935745239258,394.759613037109,48.7016767263412,95.4239883422852,192.25456237793,7.3,77.378,75.088,72.771,115.541,166.999,14.0,12.1,16.1,14.0,19.6,66.5,94.8271094382459,81.2512629376572,1.20341974103531,0.855371368445934,5.15086823110261,4.229477737772,4.69061765907812,31.0311447846532,32.4520555410896,31.7408815333097,63.8179869842442,63.3184667211384,63.5685008076122,9587522.0
HRV,5.6,2.9962,8.1134,71.0,6.78913369774818,902.1396484375,1772.48168945313,10.9732516109943,98.9940567016602,194.498886108398,5.4,81.4,78.0707317073171,74.9,49.809,117.544,16.7,10.7,22.8,2.3,5.3,92.4,99.5866665552939,96.5384458414853,7.48582734086672,3.64181309123871,23.7220479156053,16.9189901464171,20.445433012423,13.5873322550141,15.5070879936598,14.5119400058464,62.6906198293806,67.5739218599231,65.0426269817306,4087843.0
HUN,7.0,3.2312,6.6425,74.0,6.87998980283737,981.423034667969,1979.4033203125,26.8943250179291,263.947113037109,532.34716796875,6.9,79.3,75.8170731707317,72.5,80.586,168.058,23.0,15.6,31.1,1.8,4.4,93.8,99.9999974886679,97.9908733908907,5.87648547244443,2.66613363628863,22.7493030777352,15.198967087612,19.1577253832321,13.3840116827925,15.5450758972744,14.4119922134424,63.8666852394723,69.2559570151136,66.4302824033255,9775564.0
IDN,1.2,0.3777,2.0583,57.0,2.98905447125435,114.971786499023,367.94140625,34.6057176589966,39.7868118286133,127.328758239746,6.3,73.748,71.509,69.375,125.668,177.539,26.4,22.6,30.3,20.7,6.0,73.3,89.3440122284472,73.1283873746602,1.07374094433761,0.638622003478531,6.45814680826873,5.26467180652663,5.85716561272863,26.0798659250084,27.0158765847801,26.5511973052634,67.4619872667228,67.7194516086933,67.5916370820079,267663435.0
IND,0.7,0.7776,2.1071,55.0,3.53495962917805,69.293098449707,253.322418212891,62.4015033245087,43.2399368286133,158.076995849609,10.4,70.692,69.416,68.239,147.161,203.623,23.3,19.8,26.7,26.0,11.3,62.7,92.6746425707427,59.5434482675674,1.07414113739948,0.815471943199711,6.68003729134215,5.71791009752031,6.17995564947149,26.7473382995033,27.3359944031736,27.0533018530221,66.5726244091545,66.946095499306,66.7667424975064,1352617328.0
IRL,2.8,3.0861,14.2949,76.0,7.18438327312469,4976.8623046875,5544.67822265625,12.2811168432236,611.214233398438,680.948425292969,3.2,84.4,82.6073170731707,80.9,41.591,71.299,10.3,8.7,11.9,5.1,4.3,90.6,97.3945446115608,91.2451813113421,3.53762432346675,2.50008058294329,14.5961624807447,13.123424184846,13.8658017012923,20.7215586470117,22.1026245759977,21.4064195870662,64.6822788722436,64.7739512391564,64.7277787116415,4867309.0
IRN,1.5,1.14,1.87,72.0,8.65966379642487,475.479949951172,1748.39575195313,41.7565643787384,198.544067382813,730.070007324219,9.6,77.668,76.479,75.409,49.574,83.386,14.8,13.7,16.0,7.9,10.1,81.9,95.2445448799574,88.4218671015005,0.966979085667083,1.27963766923657,6.01419454548318,6.35132539203477,6.18457380562499,24.0841412922613,24.8605529717368,24.4765586602319,69.9016641622555,68.7881216362284,69.3388675341431,81800269.0
IRQ,1.4,0.8217,1.6799,61.0,4.16663028299809,210.313705444336,494.759704589844,58.0432951450348,122.072998046875,378.342651367188,8.8,72.486,70.454,68.429,129.1,185.811,21.3,18.3,24.6,16.8,28.4,54.7,96.5334783341414,94.1210224523593,0.590288220297314,0.375919297130585,3.70204392029147,2.95401162729999,3.32359966279505,37.7666817258367,38.9919351748788,38.3865654011074,58.5312743538718,58.0540531978212,58.2898349360976,38433600.0
